filename,log_sr_r,log_sr_g,log_sr_b
1-1.tiff,0.6441,0.5858,0.4919
10-1.tiff,0.6183,0.5889,0.5205
10-10.tiff,0.6216,0.5868,0.5189
10-11.tiff,0.6226,0.5864,0.5181
10-12.tiff,0.6220,0.5866,0.5187
10-13.tiff,0.6224,0.5865,0.5183
10-14.tiff,0.6208,0.5871,0.5195
10-15.tiff,0.6203,0.5873,0.5199
10-16.tiff,0.6213,0.5869,0.5192
10-17.tiff,0.6203,0.5873,0.5199
10-18.tiff,0.6222,0.5866,0.5185
10-2.tiff,0.6209,0.5872,0.5194
10-3.tiff,0.6219,0.5867,0.5186
10-4.tiff,0.6218,0.5867,0.5187
10-5.tiff,0.6226,0.5865,0.5181
10-6.tiff,0.6202,0.5872,0.5201
10-7.tiff,0.6195,0.5876,0.5205
10-8.tiff,0.6200,0.5875,0.5201
10-9.tiff,0.6206,0.5872,0.5197
11-1.tiff,0.6370,0.5865,0.5003
11-10.tiff,0.6391,0.5862,0.4980
11-11.tiff,0.6379,0.5861,0.4995
11-2.tiff,0.6378,0.5865,0.4992
11-3.tiff,0.6380,0.5864,0.4990
11-4.tiff,0.6361,0.5866,0.5012
11-5.tiff,0.6356,0.5866,0.5019
11-6.tiff,0.6360,0.5866,0.5014
11-7.tiff,0.6363,0.5866,0.5010
11-8.tiff,0.6387,0.5862,0.4984
11-9.tiff,0.6384,0.5863,0.4987
12-1.tiff,0.6358,0.5869,0.5013
12-10.tiff,0.6388,0.5863,0.4983
12-11.tiff,0.6385,0.5862,0.4986
12-12.tiff,0.6364,0.5868,0.5007
12-13.tiff,0.6363,0.5869,0.5006
12-14.tiff,0.6355,0.5871,0.5015
12-15.tiff,0.6367,0.5869,0.5001
12-16.tiff,0.6362,0.5871,0.5006
12-17.tiff,0.6362,0.5871,0.5006
12-18.tiff,0.6375,0.5865,0.4996
12-19.tiff,0.6373,0.5865,0.4999
12-2.tiff,0.6358,0.5870,0.5013
12-20.tiff,0.6383,0.5865,0.4986
12-21.tiff,0.6383,0.5865,0.4986
12-3.tiff,0.6352,0.5871,0.5019
12-4.tiff,0.6391,0.5857,0.4984
12-5.tiff,0.6355,0.5866,0.5020
12-6.tiff,0.6363,0.5870,0.5006
